Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_ta_cp_80_300_3_50_1,109163.742675629,111945.527973959,115661.966808827,111945.527973959,109163.742675629,109163.74267562898,bvns_random,1.3330355731395782e-16
AUpdata_ta_cp_80_300_3_50_2,88396.2923725407,88396.2923725407,101851.666444959,88396.2923725407,88396.2923725407,88396.29237254064,bvns_random,6.584853204946069e-16
AUpdata_ta_cp_80_300_3_50_3,97247.3627889202,97247.3627889202,112926.959720548,97247.3627889202,97247.3627889202,97247.36278892026,bvns_random,-5.985525904677717e-16
AUpdata_ta_cp_80_300_3_50_4,99347.7953392703,99347.7953392703,115087.82325209,99347.7953392703,99347.7953392703,99347.79533927028,bvns_random,2.929489311498543e-16
AUpdata_ta_cp_80_300_3_50_5,96813.240967867,96813.240967867,96813.240967867,96813.240967867,96813.240967867,96813.24096786705,bvns_random,-6.012365698281593e-16
AUpdata_ta_cp_80_300_4_100_1,61112.604638362,61112.604638362,68420.3025512985,61112.604638362,61112.604638362,61112.60463836199,bvns_random,1.190582148681013e-16
AUpdata_ta_cp_80_300_4_100_2,72043.5709404659,72043.5709404659,89129.7958734108,72043.5709404659,72043.5709404659,72043.57094046588,bvns_random,2.019877004763133e-16
AUpdata_ta_cp_80_300_4_100_3,58793.5258251558,58793.5258251558,75685.486394711,58793.5258251558,58793.5258251558,58793.52582515577,bvns_random,4.950176069263931e-16
AUpdata_ta_cp_80_300_4_100_4,103899.640334991,103899.640334991,111235.501568007,103899.640334991,103899.640334991,103899.64033499145,bvns_random,-4.34177991978522e-15
AUpdata_ta_cp_80_300_4_100_5,94250.4959149441,94250.4959149441,108137.206853548,94250.4959149441,94250.4959149441,94250.49591494413,bvns_random,-3.087923323289281e-16
AUpdata_ta_cp_80_300_4_50_1,80019.109044044,80019.109044044,85235.8116907733,80726.9258146215,80019.109044044,80019.109044044,bvns_random,0.0
AUpdata_ta_cp_80_300_4_50_2,82696.4692815996,82696.4692815996,107527.81659309,82696.4692815996,82696.4692815996,82696.46928159957,bvns_random,3.5193558696718713e-16
AUpdata_ta_cp_80_300_4_50_3,83297.6655778589,83297.6655778589,98935.6241045427,83297.6655778589,83297.6655778589,83297.66557785889,bvns_random,1.7469775566237302e-16
AUpdata_ta_cp_80_300_4_50_4,71067.8526789907,71067.8526789907,100660.265073112,71067.8526789907,71067.8526789907,71067.85267899072,bvns_random,-2.047608683788012e-16
AUpdata_ta_cp_80_300_4_50_5,84760.5850600471,84760.5850600471,96026.8906228903,84760.5850600471,84760.5850600471,84760.58506004709,bvns_random,1.716825717762308e-16
AUpdata_ta_cp_80_300_5_100_1,67304.0213058013,67304.0213058013,79929.8187151887,67304.0213058013,67304.0213058013,67304.0213058013,bvns_random,0.0
AUpdata_ta_cp_80_300_5_100_2,61232.9908927361,61232.9908927361,83495.5369643697,61232.9908927361,61232.9908927361,61232.990892736074,bvns_random,4.752965686049189e-16
AUpdata_ta_cp_80_300_5_100_3,73930.9957592514,73930.9957592514,83741.0729388181,73930.9957592514,73930.9957592514,73930.99575925135,bvns_random,5.904931380507978e-16
AUpdata_ta_cp_80_300_5_100_4,48819.5066667548,48819.5066667548,61185.9022449565,48819.5066667548,48819.5066667548,48819.50666675477,bvns_random,5.961516705893487e-16
AUpdata_ta_cp_80_300_5_100_5,97000.6257291143,97000.6257291143,113317.976357591,97000.6257291143,97000.6257291143,97000.62572911425,bvns_random,4.500563306366126e-16
AUpdata_ta_cp_80_300_5_50_1,88142.4517965959,88562.3014807651,97172.7553595716,88562.3014807651,88142.4517965959,88142.4517965959,bvns_random,0.0
AUpdata_ta_cp_80_300_5_50_2,64729.1303297,64729.1303297,72914.6049046924,64729.1303297,64729.1303297,64729.13032969999,bvns_random,1.1240623158573415e-16
AUpdata_ta_cp_80_300_5_50_3,71258.1076704838,71258.1076704838,89345.0720847822,71258.1076704838,71258.1076704838,71258.10767048385,bvns_random,-6.126425064074976e-16
AUpdata_ta_cp_80_300_5_50_4,67406.2821954114,67406.2821954114,81445.1842553624,67406.2821954114,67406.2821954114,67406.28219541135,bvns_random,8.635346590503677e-16
AUpdata_ta_cp_80_300_5_50_5,77964.3796342456,77964.3796342456,96487.2859983802,77964.3796342456,77964.3796342456,77964.37963424565,bvns_random,-5.599447579766912e-16
AUpdata_ta_cp_80_400_2_100_1,60430.0539783798,60430.0539783798,66321.7071999244,60430.0539783798,60430.0539783798,60430.053978379794,bvns_random,1.204029640083817e-16
AUpdata_ta_cp_80_400_2_100_2,74330.5241208385,74330.5241208385,75559.5197630467,74330.5241208385,74330.5241208385,74330.52412083848,bvns_random,1.957730743928286e-16
AUpdata_ta_cp_80_400_2_100_3,55505.3950018691,55505.3950018691,55505.3950018691,55505.3950018691,55505.3950018691,55505.39500186911,bvns_random,-1.3108559292188467e-16
AUpdata_ta_cp_80_400_2_100_4,86147.0803984435,86147.0803984435,88670.5457607445,86147.0803984435,86147.0803984435,86147.08039844356,bvns_random,-6.756776973084634e-16
