instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\P\n=60\AUpdata_ta_cp_60_100_2_100_4.txt,AUpdata_ta_cp_60_100_2_100_4,60,2,100,bvns,42,127308.264789667,0.1614173
instances\P\n=60\AUpdata_ta_cp_60_100_2_100_5.txt,AUpdata_ta_cp_60_100_2_100_5,60,2,100,bvns,42,172659.454169919,0.1613171
instances\P\n=60\AUpdata_ta_cp_60_100_2_50_1.txt,AUpdata_ta_cp_60_100_2_50_1,60,2,50,bvns,42,242452.289639144,0.1549116
instances\P\n=60\AUpdata_ta_cp_60_100_2_50_2.txt,AUpdata_ta_cp_60_100_2_50_2,60,2,50,bvns,42,180068.618153392,0.142135
instances\P\n=60\AUpdata_ta_cp_60_100_2_50_3.txt,AUpdata_ta_cp_60_100_2_50_3,60,2,50,bvns,42,199659.987358618,0.1503249
instances\P\n=60\AUpdata_ta_cp_60_100_2_50_4.txt,AUpdata_ta_cp_60_100_2_50_4,60,2,50,bvns,42,168651.332980507,0.1538031
instances\P\n=60\AUpdata_ta_cp_60_100_2_50_5.txt,AUpdata_ta_cp_60_100_2_50_5,60,2,50,bvns,42,214475.410041144,0.1558491
instances\P\n=60\AUpdata_ta_cp_60_100_3_100_1.txt,AUpdata_ta_cp_60_100_3_100_1,60,3,100,bvns,42,134643.349905054,0.2505396
instances\P\n=60\AUpdata_ta_cp_60_100_3_100_2.txt,AUpdata_ta_cp_60_100_3_100_2,60,3,100,bvns,42,161322.75478756,0.2387825
instances\P\n=60\AUpdata_ta_cp_60_100_3_100_3.txt,AUpdata_ta_cp_60_100_3_100_3,60,3,100,bvns,42,112985.867124632,0.2389957
instances\P\n=60\AUpdata_ta_cp_60_100_3_100_4.txt,AUpdata_ta_cp_60_100_3_100_4,60,3,100,bvns,42,114811.261560347,0.2580222
instances\P\n=60\AUpdata_ta_cp_60_100_3_100_5.txt,AUpdata_ta_cp_60_100_3_100_5,60,3,100,bvns,42,129826.696518236,0.2338168
instances\P\n=60\AUpdata_ta_cp_60_100_3_50_1.txt,AUpdata_ta_cp_60_100_3_50_1,60,3,50,bvns,42,138415.230335139,0.2319235
instances\P\n=60\AUpdata_ta_cp_60_100_3_50_2.txt,AUpdata_ta_cp_60_100_3_50_2,60,3,50,bvns,42,177773.676747699,0.2497302
instances\P\n=60\AUpdata_ta_cp_60_100_3_50_3.txt,AUpdata_ta_cp_60_100_3_50_3,60,3,50,bvns,42,183708.847118676,0.260203
instances\P\n=60\AUpdata_ta_cp_60_100_3_50_4.txt,AUpdata_ta_cp_60_100_3_50_4,60,3,50,bvns,42,154484.738154047,0.2455224
instances\P\n=60\AUpdata_ta_cp_60_100_3_50_5.txt,AUpdata_ta_cp_60_100_3_50_5,60,3,50,bvns,42,113384.492737232,0.2474958
instances\P\n=60\AUpdata_ta_cp_60_100_4_100_1.txt,AUpdata_ta_cp_60_100_4_100_1,60,4,100,bvns,42,127029.186511093,0.3853964
instances\P\n=60\AUpdata_ta_cp_60_100_4_100_2.txt,AUpdata_ta_cp_60_100_4_100_2,60,4,100,bvns,42,137402.075215595,0.361531
instances\P\n=60\AUpdata_ta_cp_60_100_4_100_3.txt,AUpdata_ta_cp_60_100_4_100_3,60,4,100,bvns,42,122081.899755923,0.2986959
instances\P\n=60\AUpdata_ta_cp_60_100_4_100_4.txt,AUpdata_ta_cp_60_100_4_100_4,60,4,100,bvns,42,152050.155982143,0.3368279
