instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\R\n=60\AUpdata_ta_ca_60_300_2_100_4.txt,AUpdata_ta_ca_60_300_2_100_4,60,2,100,rvns,42,136565.956886711,0.0033523
instances\R\n=60\AUpdata_ta_ca_60_300_2_100_5.txt,AUpdata_ta_ca_60_300_2_100_5,60,2,100,rvns,42,84254.0066599588,0.0027738
instances\R\n=60\AUpdata_ta_ca_60_300_2_50_1.txt,AUpdata_ta_ca_60_300_2_50_1,60,2,50,rvns,42,133957.062780867,0.0035958
instances\R\n=60\AUpdata_ta_ca_60_300_2_50_2.txt,AUpdata_ta_ca_60_300_2_50_2,60,2,50,rvns,42,90219.2173010457,0.0027797
instances\R\n=60\AUpdata_ta_ca_60_300_2_50_3.txt,AUpdata_ta_ca_60_300_2_50_3,60,2,50,rvns,42,96870.8766010132,0.0034205
instances\R\n=60\AUpdata_ta_ca_60_300_2_50_4.txt,AUpdata_ta_ca_60_300_2_50_4,60,2,50,rvns,42,115534.495806996,0.0027096
instances\R\n=60\AUpdata_ta_ca_60_300_2_50_5.txt,AUpdata_ta_ca_60_300_2_50_5,60,2,50,rvns,42,127139.262927436,0.0034726
instances\R\n=60\AUpdata_ta_ca_60_300_3_100_1.txt,AUpdata_ta_ca_60_300_3_100_1,60,3,100,rvns,42,109950.918436585,0.0039008
instances\R\n=60\AUpdata_ta_ca_60_300_3_100_2.txt,AUpdata_ta_ca_60_300_3_100_2,60,3,100,rvns,42,100220.701148951,0.0035957
instances\R\n=60\AUpdata_ta_ca_60_300_3_100_3.txt,AUpdata_ta_ca_60_300_3_100_3,60,3,100,rvns,42,95942.6762632491,0.00393
instances\R\n=60\AUpdata_ta_ca_60_300_3_100_4.txt,AUpdata_ta_ca_60_300_3_100_4,60,3,100,rvns,42,90819.5353484513,0.0046736
instances\R\n=60\AUpdata_ta_ca_60_300_3_100_5.txt,AUpdata_ta_ca_60_300_3_100_5,60,3,100,rvns,42,106291.121612773,0.0050621
instances\R\n=60\AUpdata_ta_ca_60_300_3_50_1.txt,AUpdata_ta_ca_60_300_3_50_1,60,3,50,rvns,42,92304.0372728431,0.0041703
instances\R\n=60\AUpdata_ta_ca_60_300_3_50_2.txt,AUpdata_ta_ca_60_300_3_50_2,60,3,50,rvns,42,117320.164162257,0.0045831
